,t (h),pwf (bar),pavg (bar),q (m3/d)
174,109.76009957299225,360.44876969715835,364.87699689504035,-8.74058154858186e-07
175,110.71267222010322,360.59633956992815,364.8769968947041,-1.8421377111999238e-07
176,111.75811952434998,360.7439533682738,364.87699689411926,-2.919593419352371e-07
177,112.90549665014883,360.8910732641648,364.87699689249393,-7.392374967818304e-07
178,114.16474162926804,361.0371754005315,364.876996888771,-1.5429267082450805e-06
179,115.54676143930472,361.18176495578734,364.8769968825566,-2.346649923212597e-06
180,117.0635264747069,361.32439174541673,364.87699687515476,-2.5467536859728948e-06
181,118.72817422860382,361.46466576495425,364.8769968685122,-2.0824674489489522e-06
182,120.55512308348649,361.6022719967948,364.87699686766564,-2.4181501382789937e-07
183,122.56019719633919,361.73698363964394,364.87699686626536,-3.644547870991391e-07
184,124.76076355991707,361.86867280107566,364.87699686309753,-7.512651165132888e-07
185,127.17588242732943,361.99731769660906,364.87699686048614,-5.642926298145376e-07
186,129.82647240283336,362.1230052319441,364.8769968579187,-5.054928131484201e-07
187,132.73549162877723,362.2459280811457,364.8769968586245,1.266181058001141e-07
188,135.92813663804628,362.36637543966407,364.8769968595962,1.5883581302745286e-07
189,139.43206059437654,362.4847170861759,364.87699685786555,-2.5776901267705633e-07
190,143.27761281083056,362.60138082591385,364.87699685677336,-1.4821784634659101e-07
191,147.49810162102798,362.7168239681463,364.8769968577183,1.1684606887756995e-07
192,152.1300828799968,362.83150011827604,364.87699686747214,1.09894046592426e-06
193,157.21367659350213,362.9458232146872,364.87699687455813,7.274312411144821e-07
194,162.79291441834255,363.0601311787352,364.8769968707468,-3.5650701597071514e-07
195,168.9161210434969,363.17465191878165,364.8769968582261,-1.0671166204914708e-06
196,175.63633275546283,363.28947432331597,364.8769968483932,-7.635958896041891e-07
197,183.01175681319745,363.40452664730714,364.87699685109675,1.9129647486714886e-07
198,191.1062756115488,363.5195643389531,364.8769968574947,4.1249188439293934e-07
199,199.9899999999999,363.6341683437289,364.8769968618518,2.5595708411695104e-07
