"origId","origProcId","m","d","yDot","injector","ct","ms","aC3H6O","T","tTurb","y","liquidCore","U:0","U:1","U:2","n:0","n:1","n:2","Uturb:0","Uturb:1","Uturb:2","Points:0","Points:1","Points:2"
66618,2,5.952e-13,1.78072e-05,0,0,0,0,1,297.499,0.00728,0,0,3.14977,0.00379538,-1.22871e-20,0,1,-3.23738e-18,-0.00273618,0.022209,-0.00268201,0.465433,0.0486448,-1.57482e-19
67137,2,5.66844e-13,1.03404e-05,0,0,0,0,1,296.783,0.0466425,0,0,3.96164,0.0473849,3.27602e-07,0,1,6.91364e-06,0.0676111,0.0362354,-0.0200431,0.499476,0.0371099,2.56564e-07
67477,2,5.88339e-13,1.40627e-05,0,0,0,0,1,297.371,0.0469925,0,0,2.34864,0.362809,-9.5543e-19,0,1,-2.63342e-18,-0.830732,0.379801,-0.0471626,0.453862,0.0476046,-1.25363e-19
67299,2,5.86832e-13,1.29731e-05,0,0,0,0,1,297.075,0.0515125,0,0,3.53853,-0.00601777,3.37655e-20,0,1,-5.61095e-18,-0.00782767,-0.00666435,-0.00368834,0.491854,0.0426273,-2.3918e-19
64251,2,5.52419e-13,1.12473e-05,0,0,0,0,1,297.095,0.0123,0,0,3.60214,0.00768995,-1.87886e-08,0,1,-2.44326e-06,-0.0133173,0.00334254,0.00818328,0.480868,0.0410302,-1.00248e-07
66784,2,5.82296e-13,1.3238e-05,0,0,0,0,1,296.939,0.0365075,0,0,3.67812,0.00659385,-3.98545e-08,0,1,-6.04419e-06,0.000525801,0.00089528,0.00325541,0.492561,0.0404147,-2.44274e-07
61020,2,5.27987e-13,9.98794e-06,0,0,0,0,1,297.012,0.0504275,0,0,3.65912,0.0439584,-3.41487e-08,0,1,-7.76841e-07,0.106697,0.043265,0.0770225,0.492844,0.0426301,-3.31168e-08
64483,2,5.23199e-13,8.73165e-06,0,0,0,0,1,297.353,0.03713,0,0,3.28967,0.0174242,-1.92369e-09,0,1,-1.10403e-07,-0.0299856,0.0269719,-0.0320984,0.475424,0.0460233,-5.0811e-09
64010,2,5.49839e-13,1.18707e-05,0,0,0,0,1,296.705,0.041225,0,0,3.87925,-0.0358015,1.40201e-08,0,1,-3.91608e-07,-0.000337289,-0.0474671,0.12863,0.495327,0.0372175,-1.45746e-08
67052,2,5.67045e-13,1.05412e-05,0,0,0,0,1,297.24,0.0468825,0,0,3.35075,-0.00518472,-7.9733e-21,0,1,1.53785e-18,-0.0250387,0.00145337,0.00578687,0.478201,0.0450976,6.93531e-20
67719,2,5.94723e-13,1.59135e-05,0,0,0,0,1,297.258,0.0381375,0,0,2.10451,0.38748,-3.60853e-06,0,1,-9.31282e-06,-1.21248,0.397162,0.0727085,0.488502,0.0469046,-4.36814e-07
64757,2,5.78838e-13,1.35735e-05,0,0,0,0,1,297.49,0.042805,0,0,2.94179,0.180466,-7.6917e-09,0,1,-4.26213e-08,-0.163195,0.202217,-0.0686404,0.480376,0.0511118,-2.17845e-09
67020,2,5.76239e-13,1.13638e-05,0,0,0,0,1,297.229,0.0463425,0,0,3.39977,-0.00628019,-1.88473e-07,0,1,3.00107e-05,-0.00479366,-0.000812766,0.00278349,0.486636,0.0449652,1.34943e-06
64849,2,5.56311e-13,1.18205e-05,0,0,0,0,1,296.009,0.02775,0,0,4.89729,-0.513024,-1.07025e-08,0,1,2.08617e-08,0.347458,-0.540241,0.148963,0.492949,0.026679,5.56569e-10
60288,2,5.38901e-13,9.83191e-06,0,0,0,0,1,297.262,0.04882,0,0,3.33902,0.0267867,9.31247e-09,0,1,3.47652e-07,-0.0796558,0.0309534,0.0077963,0.469071,0.0438584,1.52475e-08
68102,2,5.70255e-13,1.11556e-05,0,0,0,0,1,297.089,0.039475,0,0,3.39528,-0.00278369,-2.30132e-11,0,1,8.26715e-09,-0.0461216,-0.000142669,-0.0613587,0.456396,0.0428005,3.53838e-10
63022,2,5.04724e-13,8.00388e-06,0,0,0,0,1,296.917,0.0050025,0,0,3.78112,0.105501,-1.51676e-07,0,1,-1.43768e-06,0.0199274,0.0957933,-0.0424671,0.484173,0.0388576,-5.58646e-08
65223,2,5.90295e-13,1.3568e-05,0,0,0,0,1,297.409,0.033695,0,0,3.18843,-0.0161227,-4.50817e-10,0,1,2.79616e-08,-0.000309029,0.00036308,-0.000798072,0.462755,0.0477975,1.33649e-09
68127,2,5.53366e-13,9.23615e-06,0,0,0,0,1,297.299,0.0235125,0,0,3.25344,0.0320036,-7.99698e-20,0,1,-2.49878e-18,-0.0740822,0.0413735,-0.0735347,0.485539,0.0464277,-1.16012e-19
64746,2,5.9354e-13,1.67969e-05,0,0,0,0,1,297.244,0.03886,0,0,3.28617,0.072087,2.54164e-19,0,1,3.5258e-18,-0.0432549,0.0811313,-0.101643,0.489407,0.0464638,1.63822e-19
64058,2,5.5211e-13,1.11965e-05,0,0,0,0,1,296.499,0.0099875,0,0,4.24708,0.0591066,-5.4811e-08,0,1,-9.27324e-07,0.128915,0.0422301,0.0549551,0.49772,0.0335439,-3.11061e-08
66595,2,5.57641e-13,9.83763e-06,0,0,0,0,1,297.244,0.0454875,0,0,3.3769,0.0392825,6.6959e-06,0,1,0.000170455,-0.0106168,0.0450411,-0.014512,0.470941,0.0445108,7.58709e-06
66838,2,5.96358e-13,1.60637e-05,0,0,0,0,1,297.405,0.0213375,0,0,3.02437,0.201925,-4.41773e-19,0,1,-2.18781e-18,-0.110508,0.221618,-0.0817555,0.479431,0.0502002,-1.09828e-19
62315,2,5.19979e-13,9.3595e-06,0,0,0,0,1,296.383,0.0439675,0,0,3.91596,-0.10528,2.5198e-19,0,1,-2.39344e-18,-0.274261,-0.12833,-0.0649236,0.484259,0.0322088,-7.70897e-20
63904,2,5.17763e-13,9.54828e-06,0,0,0,0,1,297.123,0.0364475,0,0,2.98539,0.17247,6.81721e-08,0,1,3.9527e-07,-0.444451,0.177108,-0.107417,0.496947,0.0451314,1.78391e-08
63342,2,6.0378e-13,2.09278e-05,0,0,0,0,1,296.93,0.0053025,0,0,3.56261,0.0983602,-1.09742e-07,0,1,-1.11572e-06,0.142537,0.101201,0.42622,0.461393,0.0432557,-4.82612e-08
61431,2,4.97246e-13,8.31639e-06,0,0,0,0,1,296.659,0.005655,0,0,4.00251,-0.0133941,-2.01431e-08,0,1,1.50389e-06,-0.0183589,-0.0303087,0.0263631,0.491295,0.0349388,5.2544e-08
68909,2,6.00249e-13,1.90462e-05,0,0,0,0,1,296.838,0.01978,0,0,3.71141,0.161091,-4.36681e-08,0,1,-2.71077e-07,0.0882219,0.156355,0.219669,0.484463,0.0410233,-1.11205e-08
69390,2,5.91402e-13,1.42085e-05,0,0,0,0,1,297.082,0.0191775,0,0,3.35596,-0.0877585,-5.384e-20,0,1,6.13501e-19,-0.0818962,-0.085328,0.138903,0.434844,0.0416513,2.55531e-20
64766,2,5.98711e-13,1.76188e-05,0,0,0,0,1,296.422,0.0325325,0,0,4.18787,0.0211257,-1.28187e-08,0,1,-6.06783e-07,0.000340687,0.000255739,-9.71373e-05,0.494196,0.0323105,-1.96055e-08
60619,2,5.01799e-13,8.87012e-06,0,0,0,0,1,296.869,0.0295725,0,0,3.69164,0.12102,-5.53167e-09,0,1,-4.57087e-08,-0.00684365,0.115753,0.0874217,0.49785,0.040365,-1.84503e-09
69083,2,5.84578e-13,1.23267e-05,0,0,0,0,1,296.505,0.0184875,0,0,4.10151,-0.0838795,-4.30861e-07,0,1,5.13666e-06,0.000961761,-0.100324,-0.0429912,0.498504,0.033766,1.73445e-07
64840,2,5.3114e-13,9.41362e-06,0,0,0,0,1,296.908,0.0481475,0,0,3.60468,0.173544,-4.56735e-07,0,1,-2.63182e-06,-0.0568882,0.167888,-0.0477672,0.486604,0.0405539,-1.0673e-07
63098,2,6.06304e-13,1.95325e-05,0,0,0,0,1,297.634,0.00467,0,0,2.94529,-0.031455,-4.03877e-09,0,1,1.28398e-07,0.00102089,-0.00165419,-0.00309327,0.440228,0.0541279,6.94993e-09
54494,2,5.06522e-13,9.83257e-06,0,0,0,0,1,297.59,0.0229675,0,0,3.1049,-0.00366348,1.62168e-10,0,1,-4.4266e-08,-0.0235073,0.0165194,-0.00711546,0.488239,0.0510245,-2.25865e-09
62585,2,5.10139e-13,8.71994e-06,0,0,0,0,1,296.654,0.005575,0,0,4.43949,0.416095,1.08538e-06,0,1,2.60849e-06,0.509272,0.400512,-0.0370381,0.48451,0.0362607,9.45858e-08
65007,2,5.59038e-13,1.1582e-05,0,0,0,0,1,297.24,0.032745,0,0,3.3207,-0.013332,6.14322e-20,0,1,-4.60786e-18,-0.0233848,-0.00542458,-0.0227908,0.466658,0.0450373,-2.07525e-19
61354,2,5.13152e-13,9.16791e-06,0,0,0,0,1,297.06,0.0036625,0,0,3.12143,-0.584264,9.8942e-08,0,1,-1.69345e-07,-0.361688,-0.582574,0.392376,0.482658,0.0432875,-7.33051e-09
67953,2,5.35795e-13,8.40839e-06,0,0,0,0,1,297.443,0.0556925,0,0,2.96645,0.1485,5.01638e-07,0,1,3.37803e-06,-0.2286,0.164722,-0.0198343,0.443767,0.04656,1.57281e-07
67282,2,5.11016e-13,8.30885e-06,0,0,0,0,1,296.64,0.0063,0,0,3.8343,-0.00666721,1.31412e-08,0,1,-1.97102e-06,0.0501521,-0.0176365,0.543328,0.480776,0.0383479,-7.55844e-08
66410,2,5.77285e-13,1.33423e-05,0,0,0,0,1,296.75,0.045955,0,0,3.54215,0.0593592,-6.01886e-08,0,1,-1.01397e-06,-0.232416,0.0472261,-0.106635,0.464304,0.0379049,-3.84346e-08
64049,2,5.10581e-13,8.31134e-06,0,0,0,0,1,296.888,0.020715,0,0,3.90432,0.0291015,-1.17455e-07,0,1,-4.03606e-06,0.246888,0.0223601,-0.134738,0.471532,0.0400303,-1.61565e-07
65369,2,5.70379e-13,1.29077e-05,0,0,0,0,1,297.219,0.03028,0,0,3.17687,-0.0399779,-9.35078e-09,0,1,2.33899e-07,-0.141487,-0.0304966,-0.149832,0.496127,0.0471317,1.1024e-08
