,t (h),pwf1 (bar),pwf2 (bar),pavg (bar),q (m3/d)
226,113.0,321.71924343171094,322.79643975901865,340.4611364676503,-274.97097050141195
227,113.5,321.44283063426224,322.5167091190083,340.1976901688748,-274.97097049044714
228,114.0,321.166490241794,322.23706986079424,339.9342438700766,-274.9709705140877
229,114.5,320.8902218442942,321.9575214605287,339.6707975713228,-274.97097046781744
230,115.0,320.61402503312854,321.6780633969498,339.407351272557,-274.9709704802599
231,115.5,320.3378994021938,321.3986951520998,339.1439049737559,-274.9709705171205
232,116.0,320.06184454789434,321.11941621122173,338.88045867496714,-274.9709705042893
233,116.5,319.7858600691359,320.8402260627311,338.6170123762118,-274.9709704693728
234,117.0,319.50994556730063,320.56112419817816,338.35356607742006,-274.9709705073999
235,117.5,319.23410064630934,320.282110112274,338.0901197786119,-274.9709705245082
236,118.0,318.958324912383,320.00318330273336,337.82667347983585,-274.9709704909915
237,118.5,318.68261797425816,319.7243432703977,337.5632271810627,-274.9709704879586
238,119.0,318.4069794431703,319.4455895192207,337.2997808822654,-274.97097051315455
239,119.5,318.1314089324463,319.16692155601544,337.03633458347144,-274.97097050973287
240,120.0,317.85590605798916,318.8883388906994,336.7728882846946,-274.97097049176915
241,120.5,317.58047043656273,318.60984103607007,336.5094419858906,-274.9709705202311
242,121.0,317.3051016929412,318.33142750815034,336.2459956870901,-274.9709705164984
243,121.5,317.02979944571706,318.0530978253366,335.9825493882744,-274.9709705323625
244,122.0,316.75456332113794,317.77485150987025,335.7191030894795,-274.97097051066606
245,122.5,316.4793929465782,317.4966880861935,335.4556567906838,-274.97097051148256
246,123.0,316.2042879516361,317.21860708174216,335.1922104918853,-274.97097051447656
247,123.5,315.9292479680194,316.94060802677626,334.9287641930953,-274.97097050557244
248,124.0,315.6542726297448,316.6626904544826,334.66531789428336,-274.9709705284353
249,124.5,315.3793615729216,316.3848539008149,334.40187159547247,-274.9709705273467
250,125.0,315.10451443582406,316.1070979045305,334.1384252966857,-274.97097050218963
251,125.5,314.82973085888045,315.8294220071739,333.87497899787644,-274.9709705256747
252,126.0,314.5550104847388,315.55182575309084,333.6115326990602,-274.97097053290685
253,126.5,314.2803529579844,315.27430868925927,333.3480864002555,-274.970970520931
254,127.0,314.0057579254402,314.99687036547476,333.084640101426,-274.9709705467879
255,127.5,313.73122503595124,314.71951033418196,332.82119380262105,-274.97097052116436
256,128.0,313.45675394042865,314.4422281505147,332.55774750381175,-274.9709705256747
257,128.5,313.1823442918292,314.1650233722635,332.29430120501627,-274.97097051128816
258,129.0,312.9079957451851,313.8878955598855,332.0308549061713,-274.9709705628854
259,129.5,312.6337079574779,313.61084427642453,331.7674086073675,-274.97097052003676
260,130.0,312.35948058774727,313.3338690875691,331.5039623085418,-274.970970542783
261,130.5,312.0853132969767,313.0569695615587,331.2405160097447,-274.97097051299903
262,131.0,311.81120574816345,312.7801452692381,330.97706971090133,-274.9709705612522
263,131.5,311.5371576062653,312.5033957839981,330.7136234120698,-274.9709705488487
264,132.0,311.2631685381456,312.226720681747,330.4501771132604,-274.9709705258303
265,132.5,310.98923821262514,311.9501195409357,330.1867308144438,-274.97097053329566
266,133.0,310.715366300405,311.6735919424688,329.92328451559825,-274.97097056354636
267,133.5,310.44155247032927,311.3971374728497,329.6598382167427,-274.9709705740057
268,134.0,310.1677964083117,311.1207557084142,329.3963919179231,-274.9709705364451
269,134.5,309.89409777992694,310.8444462465346,329.13294561908504,-274.970970555692
270,135.0,309.6204562663537,310.5682086761188,328.869499320261,-274.9709705410722
271,135.5,309.34687154804243,310.29204258996106,328.6060530214187,-274.97097056016355
272,136.0,309.0733433070217,310.0159475834892,328.34260672258654,-274.9709705495875
273,136.5,308.79987122708906,309.73992325461035,328.07916042375024,-274.9709705538646
274,137.0,308.52645499386506,309.4639692036517,327.81571412491627,-274.97097055145383
275,137.5,308.25309429477187,309.1880850333078,327.55226782607394,-274.97097056016355
276,138.0,307.9797888190166,308.9122703486136,327.28882152724475,-274.97097054647685
277,138.5,307.70653825758325,308.63652475692686,327.0253752284008,-274.97097056187437
278,139.0,307.4333423032557,308.36084786793197,326.76192892956504,-274.9709705533202
279,139.5,307.1602006504954,308.0852392935599,326.4984826307013,-274.970970582521
280,140.0,306.88711299564176,307.80969864808856,326.2350363318475,-274.9709705721393
281,140.5,306.6140790366448,307.5342255479913,325.97159003301164,-274.970970553398
282,141.0,306.34109847318655,307.2588196120023,325.70814373415055,-274.9709705797992
283,141.5,306.06817100676625,306.983480461138,325.4446974353116,-274.9709705566641
284,142.0,305.7952963404778,306.70820771856154,325.181251136454,-274.9709705760665
285,142.5,305.52247417912645,306.43300100966843,324.91780483761096,-274.9709705609023
286,143.0,305.249704227715,306.1578599621099,324.6543585387243,-274.9709706064727
287,143.5,304.97698619900837,305.8827842053129,324.390912239873,-274.9709705695731
288,144.0,304.7043197983277,305.6077733712809,324.1274659410194,-274.9709705719061
289,144.5,304.4317047384791,305.3328270945309,323.86401964214895,-274.97097058951994
290,145.0,304.1591407326217,305.0579450110755,323.6005733433123,-274.97097055425337
291,145.5,303.8866274955673,304.78312675918437,323.33712704444537,-274.970970585826
292,146.0,303.61416474364887,304.50837197922607,323.07368074559497,-274.970970568601
293,146.5,303.34175219482677,304.23368031369375,322.8102344467283,-274.9709705855539
294,147.0,303.06938956868964,303.9590514071758,322.54678814785933,-274.97097058800347
295,147.5,302.7970765863649,303.6844849063003,322.2833418490145,-274.97097056280757
296,148.0,302.5248129706146,303.4099804597785,322.01989555014364,-274.9709705899475
297,148.5,302.2525984440529,303.1355377185164,321.75644925125846,-274.9709706048785
298,149.0,301.9804327375432,302.8611563345445,321.4930029523843,-274.9709705934082
299,149.5,301.70831557360805,302.58683596309555,321.22955665352976,-274.97097057291705
300,150.0,301.43624668264226,302.3125762613207,320.966110354653,-274.97097059616874
301,150.5,301.1642257951688,302.0383768877664,320.70266405576626,-274.9709706064727
302,151.0,300.89225264325626,301.7642375031149,320.4392177568964,-274.9709705888977
303,151.5,300.6203269603846,301.4901577699954,320.17577145803205,-274.97097058322095
304,152.0,300.3484484815855,301.21613735304544,319.91232515914515,-274.97097060666704
305,152.5,300.07661694336554,300.9421759188188,319.6488788602834,-274.97097058046023
306,153.0,299.8048320837195,300.66827313580734,319.385432561406,-274.9709705967909
307,153.5,299.5330936421375,300.3944286744263,319.1219862625226,-274.97097060301206
308,154.0,299.261401359539,300.1206422069645,318.8585399636501,-274.97097059161956
309,154.5,298.98975497830315,299.8469134076078,318.5950936647685,-274.9709706011846
310,155.0,298.7181542423468,299.5732419524502,318.3316473659046,-274.9709705827543
311,155.5,298.44659889692383,299.2996275194015,318.06820106700457,-274.9709706203926
312,156.0,298.1750886887383,299.0260697882441,317.80475476812035,-274.97097060386756
313,156.5,297.9036233659599,298.7525684406139,317.5413084692388,-274.9709706011069
314,157.0,297.63220267816325,298.47912315997013,317.2778621703505,-274.9709706081447
315,157.5,297.36082637251184,298.2057336346078,317.01441587142455,-274.97097064745486
316,158.0,297.0894942126132,297.93239954211145,316.7509695725464,-274.97097059756857
317,158.5,296.81820594150435,297.65912058028107,316.48752327364946,-274.97097061720433
318,159.0,296.5469613173185,297.3858964380064,316.22407697475654,-274.970970612966
319,159.5,296.275760096841,297.11272680727325,315.9606306758698,-274.9709706064727
320,160.0,296.0046020380116,296.8396113821092,315.6971843769943,-274.9709705948468
321,160.5,295.73348690009107,296.5665498583966,315.4337380780956,-274.97097061899285
322,161.0,295.4624144436899,296.293541933798,315.1702917791812,-274.97097063540133
323,161.5,295.19138442909633,296.02058730794687,314.90684548027014,-274.97097063194076
324,162.0,294.92039662459223,295.74768568113217,314.64339918137773,-274.9709706124217
325,162.5,294.64945078992946,295.4748367567754,314.37995288249374,-274.97097060367315
326,163.0,294.3785466924537,295.20204023976055,314.11650658357263,-274.9709706424002
327,163.5,294.1076840994911,294.92929583613426,313.8530602846891,-274.9709706032065
328,164.0,293.83686277962863,294.65660325374046,313.5896139857856,-274.9709706240087
329,164.5,293.56608250271273,294.3839622021198,313.32616768688615,-274.97097061977047
330,165.0,293.2953430399046,294.11137239251127,313.06272138797505,-274.97097063197964
331,165.5,293.0246441635846,293.838833537753,312.79927508908054,-274.9709706145992
332,166.0,292.75398564748207,293.5663453523952,312.53582879016807,-274.9709706333794
333,166.5,292.48336726661086,293.29390755259266,312.2723824912514,-274.97097063781206
334,167.0,292.2127887971362,293.0215198560796,312.00893619236456,-274.9709706066282
335,167.5,291.9422500165627,292.7491819822482,311.7454898934276,-274.9709706589641
336,168.0,291.6717507036147,292.47689365206315,311.4820435945189,-274.9709706293745
337,168.5,291.4012906382712,292.2046545880884,311.2185972956289,-274.9709706099721
338,169.0,291.13086960170483,291.9324645144474,310.95515099671275,-274.97097063722885
339,169.5,290.86048737640823,291.660323156873,310.6917046978011,-274.970970632524
